SubjectID,Gender,ZSTEMImageDotPmean_V1,ZNONSTEMImageDotPmean_V1,ZDcorrect_AllProblems_V1,ZDwrong_AllProblems_V1,Zmathdevalue_V1,ZGRIT_V1,Zcoratmpt_V1,ZMoodComp_V1,ZSAQ1_V1,ZWrongFeedback_Arousal_emotion_SelectedModularity_Theta_A,ZWrongFeedback_Arousal_emotion_SelectedModularity_Beta_A,ZWrongFeedback_Arousal_emotion_SelectedModularity_Gamma_A,ZWrongFeedback_DPD_SelectedModularity_Theta,ZWrongFeedback_DPD_SelectedModularity_Beta,ZWrongFeedback_DPD_SelectedModularity_Gamma
47232,1,-.123404420477331,-.251585012316986,-.249682669745124,.226770236890716,-.595026502093962,.693452757655333,.510037577157272,.400077577669527,-.0706503885215535,-1.18901843804154,-.968356639409674,-1.71606771776472,.0966790435301055,.480780788192164,.961358431555425
88688,1,1.27755424163682,.490961040991116,-.790359740221093,-.171353742663837,-.138626246007554,1.25134332208481,-1.80271686040055,-.823016731205883,-.910605007611111,-1.05978465153384,-1.24913622155655,-2.50561434962387, , , 
65659,1,-.600644443238843,-.286795665005279,-1.31071595973092,1.30608954812466,.545974138122059,.693452757655333,1.08822618654673,-.997744489616656,1.60925884965756,-.819040661612983,-.140134101561489,.106978015873783,1.72903829406716,1.07659870987497,-.282713325763906
58925,1,.0746314841525756,-.122521241906147,-1.02450549945319,.207470393939555,-.138626246007554,-.794255414156606,-1.2245282510111,-.823016731205883,-.910605007611111,-.745331869123751,.387757066597079,-.285433626828013,-2.12525029486927,-1.15359044428023,-2.24547761489773
50491,1,1.05308575971041,.737285379856512,.572967611119761,-2.14607397088896,-.366826374050758,.321525714702348,-.811536387161485,-.997744489616656,-.0706503885215535,-.579716164448143,.754130846629651,.415870343119163,-.09095091344803,.679450169417967,-.637156450704354
64375,1,-.729205316559682,-.326805555640709,-.721479966061841,-1.36170260140708,1.00237439420847,.321525714702348,.799131881852,.5748053360803,-.0706503885215535,-.562248557010876,-.309464312474061,.77411778758045,-1.63687771767381,.64647960022034,.248146891136712
87460,1,-.546966965202823,-.280611875332278,.21894428062862,.199778859193205,.545974138122059,-1.53810950006257,-.0681510322321838,.924260852901846,1.60925884965756,-.408427130547881,-1.22398410968083,.370617738022561,-.456273008584714,-.284942886447023,.748647152142389
83102,1,-.127850822481111,-.141527361052123,.0897266062207741,.0205617406410739,1.00237439420847,.321525714702348,.675234322697117,.225349819258754,-.0706503885215535,-.375324422156846,-1.0368772604252,-.592673788674869,-.154055954047757,-.84667431757033,-.262841856627297
77636,1,2.71079207214381,.642003047449203,1.0883369606437,-1.54870905778693,-.595026502093962,1.06537980060832,.510037577157272,1.79789964495571,-.910605007611111,-.343805316333284,.984937889444205,.660231523018513,-.763315657522622,-1.39382485090839,-.253308268400486
51363,1,-.313701875466042,-.250025869024515,-.887799132740515,1.50618861493134,-.366826374050758,-1.35214597858608,-.0681510322321838,.5748053360803,.769304230568004,-.281377827441931,-.758079239570674,-1.52117413580877,-1.77830864090721,-2.2975886761203,-.803409811907208
17409,1,.442752953893432,-.0531677872741419,-.559340215402318,.268116511473398,.545974138122059,.693452757655333,.972588464668837,.225349819258754,-.910605007611111,-.274084789861041,2.36569814190957,.638467922566242,.213816406992066,.484974444342254,-1.61733780567598
